time,marker
0.0,START
180.0,A
183.0,B
186.0,A
189.0,B
192.0,A
195.0,gray
198.0,gray
201.0,gray
204.0,A
207.0,B
210.0,A
213.0,B
216.0,A
219.0,gray
222.0,gray
225.0,gray
228.0,A
231.0,B
234.0,A
237.0,B
240.0,A
243.0,gray
246.0,gray
249.0,gray
252.0,A
255.0,B
258.0,A
261.0,B
264.0,A
267.0,gray
270.0,gray
273.0,gray
276.0,A
279.0,B
282.0,A
285.0,B
288.0,A
291.0,gray
294.0,gray
297.0,gray
300.0,A
303.0,B
306.0,A
309.0,B
312.0,A
315.0,gray
318.0,gray
321.0,gray
324.0,A
327.0,B
330.0,A
333.0,B
336.0,A
339.0,gray
342.0,gray
345.0,gray
348.0,A
351.0,B
354.0,A
357.0,B
360.0,A
363.0,gray
366.0,gray
369.0,gray
372.0,A
375.0,B
378.0,A
381.0,B
384.0,A
387.0,gray
390.0,gray
393.0,gray
396.0,A
399.0,B
402.0,A
405.0,B
408.0,A
411.0,gray
414.0,gray
417.0,gray
420.0,A
423.0,B
426.0,A
429.0,B
432.0,A
435.0,gray
438.0,gray
441.0,gray
444.0,A
447.0,B
450.0,A
453.0,B
456.0,A
459.0,gray
462.0,gray
465.0,gray
468.0,A
471.0,B
474.0,A
477.0,B
480.0,A
483.0,gray
486.0,gray
489.0,gray
492.0,A
495.0,B
498.0,A
501.0,B
504.0,A
507.0,gray
510.0,gray
513.0,gray
516.0,A
519.0,B
522.0,A
525.0,B
528.0,A
531.0,gray
534.0,gray
537.0,gray
540.0,A
543.0,B
546.0,A
549.0,B
552.0,A
555.0,gray
558.0,gray
561.0,gray
564.0,A
567.0,B
570.0,A
573.0,B
576.0,A
579.0,gray
582.0,gray
585.0,gray
588.0,A
591.0,B
594.0,A
597.0,B
600.0,A
603.0,gray
606.0,gray
609.0,gray
612.0,A
615.0,B
618.0,A
621.0,B
624.0,A
627.0,gray
630.0,gray
633.0,gray
636.0,A
639.0,B
642.0,A
645.0,B
648.0,A
651.0,gray
654.0,gray
657.0,gray
660.0,A
663.0,B
666.0,A
669.0,B
672.0,A
675.0,gray
678.0,gray
681.0,gray
684.0,A
687.0,B
690.0,A
693.0,B
696.0,A
699.0,gray
702.0,gray
705.0,gray
708.0,A
711.0,B
714.0,A
717.0,B
720.0,A
723.0,gray
726.0,gray
729.0,gray
732.0,A
735.0,B
738.0,A
741.0,B
744.0,A
747.0,gray
750.0,gray
753.0,gray
756.0,A
759.0,B
762.0,A
765.0,B
768.0,A
771.0,gray
774.0,gray
777.0,gray
780.0,A
783.0,B
786.0,A
789.0,B
792.0,A
795.0,gray
798.0,gray
801.0,gray
804.0,A
807.0,B
810.0,A
813.0,B
816.0,A
819.0,gray
822.0,gray
825.0,gray
828.0,A
831.0,B
834.0,A
837.0,B
840.0,A
843.0,gray
846.0,gray
849.0,gray
852.0,A
855.0,B
858.0,A
861.0,B
864.0,A
867.0,gray
870.0,gray
873.0,gray
876.0,A
879.0,B
882.0,A
885.0,B
888.0,A
891.0,gray
